product_name,description,price,rating,review_title,review_text
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,1.0,NO 0/100,"DO NOT buy your iPhones or any phone from Amazon. They’re absolutely trash even if the tittle says it’s “renewed”. The phone I received had scratches all over it, it lagged, I requested a refund right away. Ended buying a brand new one from a retailer."
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,1.0,Junk.  No customer service,I ordered this in January.  It is terrible the battery does not hold charge ad the touch screen is unpredictable contacted seller to no avail
Apple iPhone 6s Plus 16GB (Space Gray) Factory Unlocked,"['Apple iPhone 6s Plus Unlocked Cellphone, Space Gray, 16 GB (Refurbished)']",,5.0,Five Stars,so so. it's real
"Apple iPhone X, US Version, 256GB, Silver - AT&T (Renewed)","[""What's in the box: Certified Refurbished iPhone, USB Cable/Adapter.""]",264.0,4.0,Worth The Price !!,it came in perfect condition. 84% battery capacity (expected). no scratches but a super small one which I didn’t notice till yesterday (after a week). off brand charger. no headphones (expected). but overall worth the price and I recommend it 110%.
"Apple iPhone 8, US Version, 256GB, Space Gray - T-Mobile (Renewed)","['The iPhone 8 is the first smartphone by Apple made exclusively of durable glass front and back, engineered to endure dust and water splash. It is powered by the 64-bit “Apple A11 Bionic” processor and has two internal storages available: 64 GB or 256 GB of flash storage. It features a 4.7-inch widescreen multi-touch IPS display (“Retina HD”) and dual cameras – a back 12-megapixel 4K camera with optical image stabilization and a front 7-megapixel “FaceTime HD” camera with 1080p video support.']",161.0,2.0,Size,Too small in size
"Apple iPhone 12, 128GB, Green - AT&T (Renewed)","['This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.']",447.97,5.0,Very Good Condition!,"I was beyond impressed with this purchase of an iPhone 12 for my son for an early Christmas gift. It came within 48 hours, packaged very nice, came with a brand new charger, and looked like a brand new phone! He has used it for a month now and is very pleased with it! Would definitely buy from this seller again. I don't usually leave reviews, but we are very pleased!"
"Apple iPhone 12, 128GB, Green - AT&T (Renewed)","['This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.']",447.97,4.0,It works great for a good price.,I bought my wife a gift and this was it. Buying something used always comes with its pros and cons. Overall the phone was great other than a little nick at the bottoms right if the screen and low battery health. The phone operates and normal overall.
"Apple iPhone 12 Pro 5G, US Version, 512GB, Graphite - Unlocked (Renewed)","['This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.']",620.0,5.0,"Ordered Pacific Blue 256gb version, no scratches on the body and 100% battery health", 
"Apple iPhone 11 Pro Max, US Version, 512GB, Silver - Unlocked (Renewed)","['Shoot amazing videos and photos with the Ultra Wide, Wide, and Telephoto cameras. Capture your best low-light photos with Night mode. Watch HDR movies and shows on the Super Retina XDR display—the brightest iPhone display yet. Experience unprecedented performance with A13 Bionic for gaming, augmented reality (AR), and photography. And get all-day battery life¹ and a new level of water resistance.² All in the first iPhone powerful enough to be called Pro.']",600.0,5.0,Great condition good phone,Received exactly as discribed
"Apple iPhone 6S 16 GB Unlocked, Rose Gold US Version","['Apple iPhone 6s Unlocked Cellphone, Rose Gold, 16 GB (Refurbished)']",,2.0,Listed as “Very Good” Condition👎More like “Acceptable”,Home button cracked & some weird interior scuffs along the bezel👎 ..
